LISTEN TO AUDIO	Title	Composer	Performers	Date of composition	Date of perfomance	Notes/Description	Subjects	Physical Description	Type	Digital Reproduction Information	Digital Collection	Repository	Repository Collection Guide	Call Number/Location	Cite as	Restrictions	Contact and Ordering Information	Acquisition	File name	Language	Format	Coverage-Spatial	Publisher	Coverage-Temporal	Cataloger	Cataloged Date	Viewer Information	Image Resolution (Archival)	Image Bit-Depth (Archival)	Color Mode (Archival)	Extent (Archival)	File Size (Archival)	Hardware/Software (Archival)	Digitized By	Digitized Date	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
http://multimedia.lsu.edu/louis/oral_histories/LSU/p15140coll54/cass-71_sanctus-benedictus-agnus_dei_1984_1984_or_after.mp3	Sanctus benedictus, agnus dei.	Thornton, William.	Margarite B. Parker Chapel Choir.; Casey, John.	1984	1985-01-20 (January 20, 1985)	Sanctus Benedictus, Agnus Dei was written for Thornton's wedding to Alice Dutcher and was first performed for that occasion in Grand Rapids, Michigan.  This recording is of the Margarite B. Parker Chapel Choir (soprano, alto, tenor, bass) with John Casey, conductor.  Contents: there are several takes of each movement--Sanctus Benedictus: take 1 (begins at :00)--take 2 (begins at 1:13).  Agnus Dei several takes (begins at 2:05)--take all the way through (begins at 3:22)--another take all the way through (begins at 5:24)	Choruses, Sacred (Mixed voices) with organ.	1 sound cassette (7 min.) : analog.	sound; text	Compressed to 44.1KHz from 96KHz wav files.	William J. Thornton Music Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/5012.pdf		William J. Thornton Papers, Mss. 2012, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights and copyright are retained by the LSU Libraries. Permission to reproduce or publish must be requested through the Special Collections Division, Louisiana State University Libraries.	See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html	Gift of Katherine Thornton Hore, 2009.	LSU/p15140coll54/cass-71_sanctus-benedictus-agnus_dei_1984_1984_or_after.mp3																		2011-09-21	2012-10-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll54/id/11	11	12.pdf	/p15140coll54/image/12.pdf
http://multimedia.lsu.edu/louis/oral_histories/LSU/p15140coll54/cass-66b_guitar_quartet-3rdmovement_morning_song-suite_for_guitar-roland_synthesizer_sideb.mp3	Quartet for classical guitars. 3rd movement, Morning song.	Thornton, William.		1994	1994	Quartet for Classical Guitars was comissioned by the San Antonio Guitar Quartet and premiered at the 1994 Festival of Texas Composers hosted by the University of Texas, Austin.  This recording is the movement 'Jambalaya' performed on a Roland Synthesizer.	Plucked instrument quartets (Guitars (4)); Electronic keyboard (Synthesizer) music.; Festival of Texas Composers (1994 : Austin, Tex.)	1 sound cassette (32 min) : analog.	sound; text	Compressed to 44.1KHz from 96KHz wav files.	William J. Thornton Music Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/5012.pdf		William J. Thornton Papers, Mss. 2012, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights and copyright are retained by the LSU Libraries. Permission to reproduce or publish must be requested through the Special Collections Division, Louisiana State University Libraries.	See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html	Gift of Katherine Thornton Hore, 2009.	LSU/p15140coll54/cass-66b_guitar_quartet-3rdmovement_morning_song-suite_for_guitar-roland_synthesizer_sideb.mp3																		2011-09-21	2012-10-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll54/id/12	12	13.pdf	/p15140coll54/image/13.pdf
http://multimedia.lsu.edu/louis/oral_histories/LSU/p15140coll54/disc-84_piano_suite-1stmovement-side1_1938.mp3	Suite for piano.	Thornton, William.	Boehle, William Randall.	1939	1940	William Boehle, piano, first performed this work at Louisiana State University, 1940.  This recording is of the first movement only.	Suites (Piano); Piano music.; Solo instrument music.	1 sound disc (1 min. 45 sec.) : analog, 78 rpm.	sound; text	Compressed to 44.1KHz from 96KHz wav files.	William J. Thornton Music Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/5012.pdf		William J. Thornton Papers, Mss. 2012, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights and copyright are retained by the LSU Libraries. Permission to reproduce or publish must be requested through the Special Collections Division, Louisiana State University Libraries.	See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html	Gift of Katherine Thornton Hore, 2009.	LSU/p15140coll54/disc-84_piano_suite-1stmovement-side1_1938.mp3																		2011-09-21	2012-10-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll54/id/13	13	14.pdf	/p15140coll54/image/14.pdf
http://multimedia.lsu.edu/louis/oral_histories/LSU/p15140coll54/disc-83_november_night-triad_5-6-1949.mp3	Two madrigals: November night, triad.	Thornton, William.	Louisiana State University A Cappella Choir.; Draper, Dallas.	1947 - 1948	1949-05-06 (May 6, 1949)	This work was first performed by the Louisiana State University A Cappella Choir (soprano, alto, tenor, bass) with Dallas Draper conducting.  Contents: November Night (begins at :00)--Triad (begins at 1:26).	Choruses, Secular (Mixed voices), Unaccompanied; Madrigals, English.	1 sound disc (3 min. 45 sec.) : analog, 78 rpm.	sound; text	Compressed to 44.1KHz from 96KHz wav files.	William J. Thornton Music Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/5012.pdf		William J. Thornton Papers, Mss. 2012, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights and copyright are retained by the LSU Libraries. Permission to reproduce or publish must be requested through the Special Collections Division, Louisiana State University Libraries.	See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html	Gift of Katherine Thornton Hore, 2009.	LSU/p15140coll54/disc-83_november_night-triad_5-6-1949.mp3																		2011-09-21	2012-10-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll54/id/14	14	15.pdf	/p15140coll54/image/15.pdf
http://multimedia.lsu.edu/louis/oral_histories/LSU/p15140coll54/rr-57_sonata_for_cello_and_piano_3-30-1987.mp3	Sonata for violoncello and piano (1987 performance).	Thornton, William.	Tonsing, Evan.; Rush, Stephen.	1950	1987-03-30 (March 30, 1987)	This recording is of the performance at Oklahoma State University with Evan Tonsing violoncello, and Steve Rush, piano for the Faculty Consort, Spring Program.   The following note was written on the original box: ""the offensive hum was produced by OSU's stage wiring!  Apologies"")  Begins at :09.	Sonatas (Violoncello and piano); Violoncello and piano music.	1 sound tape reel (16 min.) : analog, 7.5 ips, stereo.	sound; text	Compressed to 44.1KHz from 96KHz wav files.	William J. Thornton Music Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/5012.pdf		William J. Thornton Papers, Mss. 2012, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights and copyright are retained by the LSU Libraries. Permission to reproduce or publish must be requested through the Special Collections Division, Louisiana State University Libraries.	See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html	Gift of Katherine Thornton Hore, 2009.	LSU/p15140coll54/rr-57_sonata_for_cello_and_piano_3-30-1987.mp3																		2011-09-21	2012-10-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll54/id/15	15	16.pdf	/p15140coll54/image/16.pdf
http://multimedia.lsu.edu/louis/oral_histories/LSU/p15140coll54/cass-68_sinfonia_bejar_1976_1976_or_after.mp3	Sinfonia bejar.	Thornton, William.	San Antonio Symphony Orchestra.; Roller, Clyde A.	1976	1976	Sinfonia Bejar was written at the request of Dr. Alessandro with the support of Trinity University and other individuals for the Bicentennial of the United States.  It was premiered by the San Antonio Symphony with Clyde A. Roller, conductor.  Contents: I. Pastoral March for Those Who Endured Wars (begins at :00)--II. Memoriam, Those Who Died (begins at 4:30)--III. Celebration (begins at 13:25).	Orchestral music.; Symphonies.; American Revolution Bicentennial, 1976.	1 sound cassette (21 min.) : analog.	sound; text	Compressed to 44.1KHz from 96KHz wav files.	William J. Thornton Music Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/5012.pdf		William J. Thornton Papers, Mss. 2012, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights and copyright are retained by the LSU Libraries. Permission to reproduce or publish must be requested through the Special Collections Division, Louisiana State University Libraries.	See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html	Gift of Katherine Thornton Hore, 2009.	LSU/p15140coll54/cass-68_sinfonia_bejar_1976_1976_or_after.mp3																		2011-09-21	2012-10-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll54/id/16	16	17.pdf	/p15140coll54/image/17.pdf
http://multimedia.lsu.edu/louis/oral_histories/LSU/p15140coll54/cass-73_sonata_for_piano_four_hands_1983_or_after.mp3	Sonata for piano four hands.	Thornton, William.	Milhalso, Andrew.; Leifheit, Karl.	1982	1985-03-13 (March 13, 1985)	Sonata for Piano Four Hands was written with the support of a summer stipend from Trinity University.  Its premiere performance was by Andrew Milhalso and Karl Leifheit, piano at Trinity University.  Contents: I. (begins at :16)--II. (begins at 4:56)--III. (begins at 12:09).	Chamber music.; Piano music (4 hands); Sonatas (Piano, 4 hands)	1 sound cassette (24 min.) : analog.	sound; text	Compressed to 44.1KHz from 96KHz wav files.	William J. Thornton Music Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/5012.pdf		William J. Thornton Papers, Mss. 2012, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights and copyright are retained by the LSU Libraries. Permission to reproduce or publish must be requested through the Special Collections Division, Louisiana State University Libraries.	See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html	Gift of Katherine Thornton Hore, 2009.	LSU/p15140coll54/cass-73_sonata_for_piano_four_hands_1983_or_after.mp3																		2011-09-21	2012-10-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll54/id/17	17	18.pdf	/p15140coll54/image/18.pdf
http://multimedia.lsu.edu/louis/oral_histories/LSU/p15140coll54/cass-72_sonata_for_alto_saxophone_and_piano_1985_or_after.mp3	Sonata for alto saxophone and piano.	Thornton, William.	Carinci, Eugene.; Coldwell, Sherilyn.	1985	1986-04-28 (April 28, 1986)	Sonata for Alto Saxophone and Piano was written with the support of a summer stipend from Trinity University.  The premiere performance was by Eugene Carinci, saxophone, and Sherilyn Coldwell, piano, at Trinity University.  The following year it was selected by Frederick Hempke for inclusion in the Hempke Saxophone Series published by Southern Music Company.  Contents: I. Variations with Canon:-- Theme (begins at :00)--Variation I (begins at :49)--Variation II (begins at 2:49)--Variation III (begins at 3:39)--Variation IV (begins at 5:08)--Variation V (begins at 6:35)--II. March (begins at 8:42)--III. Soliloquy and Waltz (begins at 15:59)--IV. (begins at 23:45).	Sonatas (Saxophone and piano); Saxophone and piano music.; Solo instrument music.	1 sound cassette (32 min) : analog.	sound; text	Compressed to 44.1KHz from 96KHz wav files.	William J. Thornton Music Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/5012.pdf		William J. Thornton Papers, Mss. 2012, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights and copyright are retained by the LSU Libraries. Permission to reproduce or publish must be requested through the Special Collections Division, Louisiana State University Libraries.	See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html	Gift of Katherine Thornton Hore, 2009.	LSU/p15140coll54/cass-72_sonata_for_alto_saxophone_and_piano_1985_or_after.mp3																		2011-09-21	2012-10-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll54/id/18	18	19.pdf	/p15140coll54/image/19.pdf
http://multimedia.lsu.edu/louis/oral_histories/LSU/p15140coll54/cass-67_happy_are_they-psalm_one-1988_world_premier_11-11-1990.mp3	Happy are they, psalm 1.	Thornton, William.	Thornton, Alice Dutcher.; Ephross, Arthur.; Golden, Mary.	1988	1990-11-11 (November 11, 1990)	This recording is of the performance by Alice Dutcher Thornton, mezzo, Arthur Ephross, flute, and Mary Golden, harp at the McNay Museum in San Antonio.  Instrumentation: voice, flute, harp or piano.	Psalms (Music)--1st Psalm.; Flute and harp music.; Chamber music.	1 sound cassette (9 min.) : analog.	sound; text	Compressed to 44.1KHz from 96KHz wav files.	William J. Thornton Music Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/5012.pdf		William J. Thornton Papers, Mss. 2012, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights and copyright are retained by the LSU Libraries. Permission to reproduce or publish must be requested through the Special Collections Division, Louisiana State University Libraries.	See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html	Gift of Katherine Thornton Hore, 2009.	LSU/p15140coll54/cass-67_happy_are_they-psalm_one-1988_world_premier_11-11-1990.mp3																		2011-09-21	2012-10-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll54/id/19	19	20.pdf	/p15140coll54/image/20.pdf
http://multimedia.lsu.edu/louis/oral_histories/LSU/p15140coll54/rr-8_ceremony_of_psalms-master2of2_ca1970-song1.mp3	Ceremony of psalms, psalm 8.	Thornton, William.	Trinity University (San Antonio, Tex.). Choir.; Zetty, Claude.; Smith, Campbell.; San Antonio Symphony Orchestra Percussion Ensemble.	1969	1969	Ceremony of Psalms is a collection of 9 psalms commissioned by Trinity University for its 1969 centennial year.  This performance was at Margarite B. Parker Chapel by the Trinity University Choir, Claude Zetty, conductor, Campbell Smith, organ, and the percussion ensemble of the San Antonio Symphony.  There were two centennial celebration concerts, November 9 or 16, 1969.	Psalms (Music)--8th Psalm.; Choruses, Sacred (Mixed voices) with organ.; Percussion ensembles.; Oratorios.; Trinity University (San Antonio, Tex.)--Centennial celebrations, etc.	1 sound tape reel (21 min.) : analog, 15 ips, stereo.	sound; text	Compressed to 44.1KHz from 96KHz wav files.	William J. Thornton Music Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/5012.pdf		William J. Thornton Papers, Mss. 2012, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights and copyright are retained by the LSU Libraries. Permission to reproduce or publish must be requested through the Special Collections Division, Louisiana State University Libraries.	See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html	Gift of Katherine Thornton Hore, 2009.	rr-8_ceremony_of_psalms-master2of2_ca1970-song1.mp3																		2011-12-13	2012-10-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll54/id/20	20	21.pdf	/p15140coll54/image/21.pdf
http://multimedia.lsu.edu/louis/oral_histories/LSU/p15140coll54/cass-62_elegy_for_trumpet_and_piano_1-24-1990.mp3	Elegy for trumpet and piano.	Thornton, William.	Roller, Jan David.; Mason, Kathryn.	1989	1990-01-24 (January 24, 1990)	This work was premiered at the University of Texas-San Antonio by Jan David Roller,trumpet, and Kathryn Mason, piano.	Trumpet and piano music.	1 sound cassette (7 min.) : analog.	sound; text	Compressed to 44.1KHz from 96KHz wav files.	William J. Thornton Music Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/5012.pdf		William J. Thornton Papers, Mss. 2012, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights and copyright are retained by the LSU Libraries. Permission to reproduce or publish must be requested through the Special Collections Division, Louisiana State University Libraries.	See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html	Gift of Katherine Thornton Hore, 2009.	cass-62_elegy_for_trumpet_and_piano_1-24-1990.mp3																		2011-12-13	2012-10-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll54/id/21	21	22.pdf	/p15140coll54/image/22.pdf
http://multimedia.lsu.edu/louis/oral_histories/LSU/p15140coll54/rr-18_festive_music_4-26-1963.mp3	Festive music for orchestra.	Thornton, William.	Symposium Orchestra.; Johanos, Donald.	1961	1963-04-26 (April 26, 1963)	This performance is at the Inter-American Symposium of Contemporary Music, Austin, TX.  Performers are the Symposium Orchestra with Donald Johanos conducting.  Contents: rehearsal for the piece (begins at :00)--full run through the piece (begins at 20:37).	Orchestral music.; Symphonies.; Inter-American Symposium of Contemporary Music (1963 : Austin, Tex.)	1 sound tape reel (30 min.) : analog, 7.5 ips, mono.	sound; text;	Compressed to 44.1KHz from 96KHz wav files.	William J. Thornton Music Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/5012.pdf		William J. Thornton Papers, Mss. 2012, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights and copyright are retained by the LSU Libraries. Permission to reproduce or publish must be requested through the Special Collections Division, Louisiana State University Libraries.	See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html	Gift of Katherine Thornton Hore, 2009.	rr-18_festive_music_4-26-1963.mp3																		2011-12-13	2012-10-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll54/id/22	22	23.pdf	/p15140coll54/image/23.pdf
http://multimedia.lsu.edu/louis/oral_histories/LSU/p15140coll54/cass-66A_guitar_quartet-2ndmovement_tango-suite_for_guitar-roland_synthesizer_sidea.mp3	Quartet for classical guitars. 2nd movement, Tango. 3rd movement, Morning song.	Thornton, William.		1994	1994	Quartet for Classical Guitars was comissioned by the San Antonio Guitar Quartet and premiered at the 1994 Festival of Texas Composers hosted by the University of Texas, Austin.  This recording is the movement 'Tango' and 'Morning Song' performed on a Roland Synthesizer.  Contents: Tango (begins at :00)-Morning Song (begins at 10:25).	Plucked instrument quartets (Guitars (4)); Electronic keyboard (Synthesizer) music.; Festival of Texas Composers (1994 : Austin, Tex.)	1 sound cassette (32 min) : analog.	sound; text	Compressed to 44.1KHz from 96KHz wav files.	William J. Thornton Music Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/5012.pdf		William J. Thornton Papers, Mss. 2012, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights and copyright are retained by the LSU Libraries. Permission to reproduce or publish must be requested through the Special Collections Division, Louisiana State University Libraries.	See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html	Gift of Katherine Thornton Hore, 2009.	cass-66A_guitar_quartet-2ndmovement_tango-suite_for_guitar-roland_synthesizer_sidea.mp3																		2011-12-13	2012-10-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll54/id/23	23	24.pdf	/p15140coll54/image/24.pdf
http://multimedia.lsu.edu/louis/oral_histories/LSU/p15140coll54/cass-66B_guitar_quartet-4thmovement_jambalaya-suite_for_guitar-roland_synthesizer_sideb.mp3	Quartet for classical guitars. 4th movement, Jambalaya.	Thornton, William.		1994	1994	Quartet for Classical Guitars was comissioned by the San Antonio Guitar Quartet and premiered at the 1994 Festival of Texas Composers hosted by the University of Texas, Austin.  This recording is the movement 'Jambalaya' performed on a Roland Synthesizer.  Note: this contains a more accurate performance.	Plucked instrument quartets (Guitars (4)); Electronic keyboard (Synthesizer) music.; Festival of Texas Composers (1994 : Austin, Tex.)	1 sound cassette (32 min) : analog.	sound; text	Compressed to 44.1KHz from 96KHz wav files.	William J. Thornton Music Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/5012.pdf		William J. Thornton Papers, Mss. 2012, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights and copyright are retained by the LSU Libraries. Permission to reproduce or publish must be requested through the Special Collections Division, Louisiana State University Libraries.	See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html	Gift of Katherine Thornton Hore, 2009.	cass-66B_guitar_quartet-4thmovement_jambalaya-suite_for_guitar-roland_synthesizer_sideb.mp3																		2011-12-13	2012-10-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll54/id/24	24	25.pdf	/p15140coll54/image/25.pdf
http://multimedia.lsu.edu/louis/oral_histories/LSU/p15140coll54/rr-7_ceremony_of_psalms-master1of2_ca1970-song4.mp3	Ceremony of psalms, psalm 121.	Thornton, William.	Trinity University (San Antonio, Tex.). Choir.; Zetty, Claude.	1969	1969	Ceremony of Psalms is a collection of 9 psalms commissioned by Trinity University for its 1969 centennial year.  This performance was at Margarite B. Parker Chapel by the Trinity University Choir (soprano, alto, tenor, bass) and Claude Zetty, conductor.  There were two centennial celebration concerts, November 9 or 16, 1969.	Psalms (Music)--121st Psalm.; Choruses, Sacred (Mixed voices), Unaccompanied.; Trinity University (San Antonio, Tex.)--Centennial celebrations, etc.	1 sound tape reel (21 min.) : analog, 15 ips, stereo.	sound; text	Compressed to 44.1KHz from 96KHz wav files.	William J. Thornton Music Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/5012.pdf		William J. Thornton Papers, Mss. 2012, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights and copyright are retained by the LSU Libraries. Permission to reproduce or publish must be requested through the Special Collections Division, Louisiana State University Libraries.	See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html	Gift of Katherine Thornton Hore, 2009.	rr-7_ceremony_of_psalms-master1of2_ca1970-song4.mp3																		2011-12-13	2012-10-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll54/id/25	25	26.pdf	/p15140coll54/image/26.pdf
http://multimedia.lsu.edu/louis/oral_histories/LSU/p15140coll54/rr-29_second_string_quartet_premier_poteet_1959.mp3	String quartet no. 2.	Thornton, William.	Festival Quartet.	1959	1960-03-20 (March 20, 1960)	String Quartet No. 2 was commissioned by Louisiana State University for its centennial celebration and was first performed by the Festival Quartet, Baton Rouge, 1960.  Contents: I. (begins at :00)--II. (begins at 7:41)--III. (begins at 19:27). Instrumentation is 2 violins, viola, cello.	Chamber music.; String quartets.; Louisiana State University and Agricultural and Mechanical College--Centennial celebrations, etc.	1 sound tape reel (27 min.) : analog, 7.5 ips, mono.	sound; text	Compressed to 44.1KHz from 96KHz wav files.	William J. Thornton Music Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/5012.pdf		William J. Thornton Papers, Mss. 2012, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights and copyright are retained by the LSU Libraries. Permission to reproduce or publish must be requested through the Special Collections Division, Louisiana State University Libraries.	See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html	Gift of Katherine Thornton Hore, 2009.	rr-29_second_string_quartet_premier_poteet_1959.mp3																		2011-12-13	2012-10-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll54/id/26	26	27.pdf	/p15140coll54/image/27.pdf
http://multimedia.lsu.edu/louis/oral_histories/LSU/p15140coll54/disc-81_introduction_and_fugue_for_clarinet_quintet_1946.mp3	Introduction and fugue for clarinet quintet.	Thornton, William.	Boyce, Mary.; Cain, Ben E.; Shideler, John.; Walters, Kenneth.; Burton, Robert.	1946	1948-05-09 (May 9, 1948)	Introduction and Fugue for Clarinet Quintet was first recorded at Louisiana State University, 1948 by Mary Boyce, Ben E. Cain, John Shideler, Kenneth Walters, and Robert Burton.  Instrumentation is for 5 clarinets.	Chamber music.; Woodwind quintets (Clarinets (5)); Canons, fugues, etc.	1 sound disc (4 min. 30 sec.) : analog, 78 rpm.	sound; text	Compressed to 44.1KHz from 96KHz wav files.	William J. Thornton Music Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/5012.pdf		William J. Thornton Papers, Mss. 2012, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights and copyright are retained by the LSU Libraries. Permission to reproduce or publish must be requested through the Special Collections Division, Louisiana State University Libraries.	See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html	Gift of Katherine Thornton Hore, 2009.	disc-81_introduction_and_fugue_for_clarinet_quintet_1946.mp3																		2011-12-13	2012-10-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll54/id/27	27	28.pdf	/p15140coll54/image/28.pdf
http://multimedia.lsu.edu/louis/oral_histories/LSU/p15140coll54/rr-26_serenade_string_trio_fl-cl.mp3	Serenade for flute, clarinet, and string trio.	Thornton, William.	Eckhart, Lynton.; McPherson, Mary.; Dowdy, Paul.; Rogers, William.; Dowdy, Wesley.	1966	1964-05-24 (May 24, 1964)	This work was written for the dedication of the Ruth Taylor Art Building, Trinity University.  Instrumentation is flute, clarinet, violin, viola, and cello performed by Lynton Eckhart, Mary McPherson, Paul Dowdy, William Rogers, and Wesley Dowdy.	Suites (Clarinet and flute with string orchestra); Chamber music.; Trinity University (San Antonio, Tex.)	1 sound tape reel (7 min.) : analog, 7.5 ips, stereo.	sound; text	Compressed to 44.1KHz from 96KHz wav files.	William J. Thornton Music Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/5012.pdf		William J. Thornton Papers, Mss. 2012, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights and copyright are retained by the LSU Libraries. Permission to reproduce or publish must be requested through the Special Collections Division, Louisiana State University Libraries.	See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html	Gift of Katherine Thornton Hore, 2009.	rr-26_serenade_string_trio_fl-cl.mp3																		2011-12-13	2012-10-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll54/id/28	28	29.pdf	/p15140coll54/image/29.pdf
http://multimedia.lsu.edu/louis/oral_histories/LSU/p15140coll54/rr-37_water_tower_music-attached_to_legacy_no17.mp3	"Water tower music" for electro-magnetic tape.	Thornton, William.		1984	1984-10-10 (October 10, 1984)	Water Tower Music was composed in the Trinity University Electronic Music Laboratory.  It was commissioned by the San Antonio Art Institute to accompany a light show presented at its lawn party to raise funds for its building program.	Electronic music.	1 sound tape reel (40 min.) : analog, 7.5 ips, stereo.	sound; text	Compressed to 44.1KHz from 96KHz wav files.	William J. Thornton Music Collection	Louisiana State University Libraries, Special Collections (http://www.lib.lsu.edu/special)	http://www.lib.lsu.edu/special/findaid/5012.pdf		William J. Thornton Papers, Mss. 2012, Louisiana and Lower Mississippi Valley Collections, LSU Libraries, Baton Rouge, La.	Physical rights and copyright are retained by the LSU Libraries. Permission to reproduce or publish must be requested through the Special Collections Division, Louisiana State University Libraries.	See instructions for ordering reprints of this audio here: http://www.lib.lsu.edu/special/services/duplication.html	Gift of Katherine Thornton Hore, 2009.	rr-37_water_tower_music-attached_to_legacy_no17.mp3																		2011-12-23	2012-10-09	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll54/id/29	29	30.pdf	/p15140coll54/image/30.pdf
