Title	Caption	Region	Vol #	Negative #	Date	Photographer	City	Digital Collection	Subject	Publisher	Contributors	Type	Format	Repository	Repository Collection Guide	Contact and Ordering Information	Language	Relation	Rights	Audience	File name	Cite As	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Swamp Shooters Quarter Boat Life	Large amounts of water are required by men working in swamps.	Southeast	70	50758	8/1/1947	Lee, Russell	Lake Arthur	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/24	24	25.jp2	/p16313coll52/image/25.jp2
Employees Eating- Relaxing	Men during rest period in ""smoking pen"".  Pens are this sort are scatter throughout the refinery.  In them, and in them only, is smoking permitted.	Southeast	68	488	11/1/1943	Rosskam, Edwin and Louise	Baton Rouge	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/25	25	26.jp2	/p16313coll52/image/26.jp2
Employees Faces	Interior of control room for fluid catalytic cracking units.  Portrait of maintenance worker.	Southeast	68	490	11/1/1943	Rosskam, Edwin and Louise	Baton Rouge	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/26	26	27.jp2	/p16313coll52/image/27.jp2
Marsh Buggies	March Buggies stored on barge anchored near Lake Arthur, Louisana.	Southeast	70	50761	8/1/1947	Lee, Russell	Lake Arthur	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/27	27	28.jp2	/p16313coll52/image/28.jp2
Control Room	Interior of control room for fluid catalytic cracking units.  Operator controlling operations by checking temperatures.	Southeast	66	492	11/1/1943	Rosskam, Edwin and Louise	Baton Rouge	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/28	28	29.jp2	/p16313coll52/image/29.jp2
Swamp Shooters Boats and Supplies	Members of seismograph crew aboard one of the shallow-draft vessels used in swamp operations.	Southeast	70	50775	8/1/1947	Lee, Russell	Lake Arthur	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/29	29	30.jp2	/p16313coll52/image/30.jp2
Control Room	Interior of control room for fluid catalytic cracking units.  Operator controlling operations by checking temperatures.	Southeast	66	494	11/1/1943	Rosskam, Edwin and Louise	Baton Rouge	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/30	30	31.jp2	/p16313coll52/image/31.jp2
Swamp Shooters Quarter Boat Life	One of the extra duties of Adam Blanchard, cooks helper, is mopping the decks.	Southeast	70	50777	8/1/1947	Lee, Russell	Lake Arthur	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/31	31	32.jp2	/p16313coll52/image/32.jp2
Employees Eating- Relaxing	Interior of control room for fluid catalytic cracking units.  Process workers having lunch.	Southeast	68	495	11/1/1943	Rosskam, Edwin and Louise	Baton Rouge	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/32	32	33.jp2	/p16313coll52/image/33.jp2
Employees Eating- Relaxing	Interior of control room for fluid catalytic cracking units.  Process workers having lunch.	Southeast	68	497	11/1/1943	Rosskam, Edwin and Louise	Baton Rouge	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/33	33	34.jp2	/p16313coll52/image/34.jp2
Swamp Shooters Quarter Boat Life	J.P Leopard, party chief, keeps in touch with headquarters at Houston by radio-telephone.	Southeast	70	50779	8/1/1947	Lee, Russell	Lake Arthur	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/34	34	35.jp2	/p16313coll52/image/35.jp2
Control Room	Interior of control room for fluid catalytic cracking units.  Operator controlling operations by checking temperatures.	Southeast	66	498	11/1/1943	Rosskam, Edwin and Louise	Baton Rouge	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/35	35	36.jp2	/p16313coll52/image/36.jp2
Swamp Shooters Quarter Boat Life	Main bunk room of the quarter boat is equipped with double-decker beds.	Southeast	70	50782	8/1/1947	Lee, Russell	Lake Arthur	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/36	36	37.jp2	/p16313coll52/image/37.jp2
Baton Rouge Refinery General Views	Laborers and fluid catalytic crackers.	Southeast	66	500	11/1/1943	Rosskam, Edwin and Louise	Baton Rouge	Standard Oil Photographs from the University of Louisville Photographic Archives						University of Louisville Archives & Special Collections  http://louisville.edu/library/archives/	http://special.library.louisville.edu/display-collection.asp?ID=223	To order a reproduction, inquire about permissions, or for information about prices see: http://louisville.edu/library/archives/copies Please cite the Image Number when ordering.						Standard Oil (NJ) Collection, Photographic Archives, Archives and Special Collections, University of Louisville		2013-12-02	2013-12-02	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p16313coll52/id/37	37	38.jp2	/p16313coll52/image/38.jp2
