Title	Alternative Title(s)	Composer	Arranger	Lyricist	Place of Publication	Publisher	Date of Publication	Physical Description	Performance Medium	Dedicatee	Genre	Series or Collection	Repository	Call no.	Rights	Type	File Name	Subject	Notes	Identifier	Source	Language	Coverage-Spatial	Coverage-Temporal	Cataloger	Viewer Information	Image Resolution (Archival)	Image Bit-Depth (Archival)	Color Mode (Archival)	Extent (Archival)	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Lejos de ti	Far from thee	Martinez, Narciso.			New Orleans	Junius Hart	1890	piano score (7 p.)	piano		mazurka	Mexican Music	Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	uncataloged	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.	image; text																2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/43	43	44.pdf	/p15140coll56/image/44.pdf
Les yeux doux	Sweet Eyes; Ojos dulces	Martinez, Narciso.			New Orleans	Junius Hart	1887	piano score (7 p.)	piano	Miss Nisida Sougeron	waltz	Compositions of Narciso Martinez	Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	LLMVC M1 .M86 Box 3, no. 13b	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.	image; text																2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/44	44	45.pdf	/p15140coll56/image/45.pdf
Lola Mazurka		Perez, Eutimio.			New Orleans	Junius Hart	1891	piano score (5 p.)	piano		mazurka		Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	uncataloged	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.																	2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/45	45	46.pdf	/p15140coll56/image/46.pdf
Louise Mazurka		Francis, W. T.			New Orleans	Junius Hart	1887	piano score (5 p.)	piano		mazurka		Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	uncataloged	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.																	2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/46	46	47.pdf	/p15140coll56/image/47.pdf
Maria Mazurka		Navarro, Francisco J.	C. Maduell		New Orleans	Junius Hart	n.d.	piano score (4 p.)	piano		mazurka		Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	LLMVC M1 .M86 Box 3, No. 3	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.	Text																2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/47	47	48.pdf	/p15140coll56/image/48.pdf
Mañana te lo diré	I Will Tell You Tomorrow	Alvarado, V.			New Orleans	Junius Hart	1891	piano score (7 p.)	piano				Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	uncataloged	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.																	2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/48	48	49.pdf	/p15140coll56/image/49.pdf
Mexican Elegant Waltz	Mexico. Grand Waltz	Martinez, Narciso.			New Orleans	Junius Hart	1884	piano score (8 p.)	piano	General Porfirio Diaz	waltz		Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	LLMVC M1 .M86 Box 3, no. 5	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.	image; text																2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/49	49	50.pdf	/p15140coll56/image/50.pdf
El Nopal	Cactus	Martinez, Narcisco.			New Orleans	Junius Hart	1885	piano score (8 p.)	piano	D. Delcroix, Esq., Pianist		Mexican Music	Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	LLMVC M1 .M86 Box 3, No. 8d	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.	image; text																2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/50	50	51.pdf	/p15140coll56/image/51.pdf
Oràlia Schottisch		Ortiz, G.			New Orleans	Junius Hart	1889	piano score (7 p.)	piano		schottisch		Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	LLMVC M1 .M86 Box 6, No. 12a	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.																	2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/51	51	52.pdf	/p15140coll56/image/52.pdf
Over the Waves!	Sobra las Olas!	Rosas, Juventino.			New Orleans	Junius Hart	n.d.	piano score (11 p.)	piano				Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	uncataloged	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.																	2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/52	52	53.pdf	/p15140coll56/image/53.pdf
Pensando en ti	Thinking of Thee	Saucedo, F.			New Orleans	Junius Hart	1890	piano score (5 p.)	piano				Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	uncataloged	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.																	2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/53	53	54.pdf	/p15140coll56/image/54.pdf
Pepita	Tango-Habanera				New Orleans	Philip Werlein	n.d.	piano score (7 p.)	piano		tango		Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	uncataloged	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.																	2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/54	54	55.pdf	/p15140coll56/image/55.pdf
Pomona Valse		Castro, Angel.			New Orleans	n. p.	1875	piano score (6 p.)	piano	Fruit Grower's Association of the Gulf States	waltz		Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	LLMVC M1 .M86 Box 1, No. 46	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.																	2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/55	55	56.pdf	/p15140coll56/image/56.pdf
Por ti	For Your Sake	Robles, R. Susano.			New Orleans	Junius Hart	1890	piano score (7 p.)	piano				Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	uncataloged	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.																	2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/56	56	57.pdf	/p15140coll56/image/57.pdf
Reminiscences of Mexico		Comes, Laurent L.			New Orleans	Junius Hart	1890	piano score (6 p.)	piano	Narciso Martinez		Mexican Music	Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	LLMVC M1 .M86 Box 3, No. 19	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.	image; text																2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/57	57	58.pdf	/p15140coll56/image/58.pdf
Las dos republicas	The Two Republics	Toledano, Miguel Rios.			New Orleans	Junius Hart	1890	piano score (7 p.)	piano				Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	uncataloged	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.																	2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/58	58	59.pdf	/p15140coll56/image/59.pdf
Risueños amigos	Merry Friends	Estrada, Manuel.			New Orleans	Junius Hart	1891	piano score (9 p.)	piano				Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	uncataloged	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.																	2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/59	59	60.pdf	/p15140coll56/image/60.pdf
Salamanca Shottishe		Araujo, Luis G.			New Orleans	Junius Hart	n.d.	piano score (8 p.)	piano		schottisch		Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	uncataloged	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.																	2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/60	60	61.pdf	/p15140coll56/image/61.pdf
Siempre tuyo	Forever Yours	Rivas, Candelario.			New Orleans	Junius Hart	1890	piano score (7 p.)	piano				Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	uncataloged	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.																	2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/61	61	62.pdf	/p15140coll56/image/62.pdf
El Tivoli de San Pedro		Martinez, Lic. Ramon.			New Orleans	Junius Hart	1891	piano score (5 p.)	piano	Encarnacion Payen		Mexican Music	Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	LLMVC M1 .M86 Box 3, No. 19c	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.	image; text																2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/62	62	63.pdf	/p15140coll56/image/63.pdf
Todos contentos	Always Contented	Avila, Felix G.			New Orleans	Junius Hart	1892	piano score (5 p.)	piano				Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	uncataloged	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.																	2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/63	63	64.pdf	/p15140coll56/image/64.pdf
Tuyo seré	I Will Be Thine	Lesama, E.			New Orleans	Junius Hart	1891	piano score (6 p.)	piano				Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	uncataloged	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.																	2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/64	64	65.pdf	/p15140coll56/image/65.pdf
Mi Vida	My Life	Barrejon, Eduardo.			New Orleans	Junius Hart	1890	piano score (7 p.)	piano				Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	LLMVC M1 .M86 Box , No. 31	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.																	2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/65	65	66.pdf	/p15140coll56/image/66.pdf
Te volvi a ver	We Meet Again	Estrada, Manuel.			New Orleans	Junius Hart	1889	piano score (8 p.)	piano		waltz	Mexican Music	Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	LLMVC M1 .M86 Box 3, No. 16 C	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.	image; text																2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/66	66	67.pdf	/p15140coll56/image/67.pdf
The York		Martinez, Narciso.			New Orleans	Junius Hart	1888	piano score (6 p.)	piano				Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	LLMVC M1 .M86 Box 3, No. 15	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.	image; text																2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/67	67	68.pdf	/p15140coll56/image/68.pdf
Young Ladies' Musical Album	Album musical de las señoritas	Martinez, Narcisco.			New Orleans	Narcisco Martinez	1890	4 piano scores (10 p.)	piano				Louisiana State University, Special Collections, (http://www.lib.lsu.edu/special/)	LLMVC M1 .M86 Box 4, No. 4f	This item is in the public domain. Acknowledgement of the Louisiana State University Libraries as a source is requested.																	2011-10-18	2011-10-24	http://cdm16313.contentdm.oclc.org:80/cdm/ref/collection/p15140coll56/id/68	68	69.pdf	/p15140coll56/image/69.pdf
